
####################################################################################################
############################    New Connection @ 23:44:28 | 28-10-15    ############################
####################################################################################################

[LOG: 23:44:42 | 28-10-15] - wait 5000
[LOG: 23:44:43 | 28-10-15] - subscriber subscriber2 subscribe cenas/lol
[LOG: 23:44:43 | 28-10-15] - subscriber subscriber0 subscribe cenas/lol
[LOG: 23:44:43 | 28-10-15] - subscriber subscriber3 subscribe cenas/lol
[LOG: 23:44:43 | 28-10-15] - publisher publisher0 publish 5 Ontopic cenas/lol interval 1000
[LOG: 23:44:43 | 28-10-15] - PubEvent publisher0, cenas/lol, 1
[LOG: 23:44:43 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 1
[LOG: 23:44:43 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 1
[LOG: 23:44:43 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 1
[LOG: 23:44:44 | 28-10-15] - PubEvent publisher0, cenas/lol, 2
[LOG: 23:44:44 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 2
[LOG: 23:44:44 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 2
[LOG: 23:44:44 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 2
[LOG: 23:44:45 | 28-10-15] - PubEvent publisher0, cenas/lol, 3
[LOG: 23:44:45 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 3
[LOG: 23:44:45 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 3
[LOG: 23:44:45 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 3
[LOG: 23:44:46 | 28-10-15] - PubEvent publisher0, cenas/lol, 4
[LOG: 23:44:46 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 4
[LOG: 23:44:46 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 4
[LOG: 23:44:46 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 4
[LOG: 23:44:47 | 28-10-15] - PubEvent publisher0, cenas/lol, 5
[LOG: 23:44:47 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 5
[LOG: 23:44:47 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 5
[LOG: 23:44:47 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 5

####################################################################################################
############################    New Connection @ 23:46:34 | 28-10-15    ############################
####################################################################################################

[LOG: 23:46:48 | 28-10-15] - wait 5000
[LOG: 23:46:48 | 28-10-15] - subscriber subscriber2 subscribe cenas/lol
[LOG: 23:46:48 | 28-10-15] - subscriber subscriber0 subscribe cenas/lol
[LOG: 23:46:48 | 28-10-15] - subscriber subscriber3 subscribe cenas/lol
[LOG: 23:46:48 | 28-10-15] - publisher publisher0 publish 5 Ontopic cenas/lol interval 1000
[LOG: 23:46:48 | 28-10-15] - PubEvent publisher0, cenas/lol, 1
[LOG: 23:46:48 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 1
[LOG: 23:46:48 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 1
[LOG: 23:46:48 | 28-10-15] - BroEvent broker2, publisher0, cenas/lol, 1
[LOG: 23:46:48 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 1
[LOG: 23:46:48 | 28-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 1
[LOG: 23:46:49 | 28-10-15] - PubEvent publisher0, cenas/lol, 2
[LOG: 23:46:49 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 2
[LOG: 23:46:49 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 2
[LOG: 23:46:49 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 2
[LOG: 23:46:49 | 28-10-15] - BroEvent broker2, publisher0, cenas/lol, 2
[LOG: 23:46:49 | 28-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 2
[LOG: 23:46:50 | 28-10-15] - PubEvent publisher0, cenas/lol, 3
[LOG: 23:46:50 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 3
[LOG: 23:46:50 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 3
[LOG: 23:46:50 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 3
[LOG: 23:46:50 | 28-10-15] - BroEvent broker2, publisher0, cenas/lol, 3
[LOG: 23:46:50 | 28-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 3
[LOG: 23:46:51 | 28-10-15] - PubEvent publisher0, cenas/lol, 4
[LOG: 23:46:51 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 4
[LOG: 23:46:51 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 4
[LOG: 23:46:51 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 4
[LOG: 23:46:51 | 28-10-15] - BroEvent broker2, publisher0, cenas/lol, 4
[LOG: 23:46:51 | 28-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 4
[LOG: 23:46:52 | 28-10-15] - PubEvent publisher0, cenas/lol, 5
[LOG: 23:46:52 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 5
[LOG: 23:46:52 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 5
[LOG: 23:46:52 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 5
[LOG: 23:46:52 | 28-10-15] - BroEvent broker2, publisher0, cenas/lol, 5
[LOG: 23:46:52 | 28-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 5

####################################################################################################
############################    New Connection @ 23:52:10 | 28-10-15    ############################
####################################################################################################

[LOG: 23:52:25 | 28-10-15] - wait 5000
[LOG: 23:52:25 | 28-10-15] - subscriber subscriber2 subscribe cenas/lol
[LOG: 23:52:25 | 28-10-15] - subscriber subscriber0 subscribe cenas/lol
[LOG: 23:52:25 | 28-10-15] - subscriber subscriber3 subscribe cenas/lol
[LOG: 23:52:25 | 28-10-15] - publisher publisher0 publish 5 Ontopic cenas/lol interval 1000
[LOG: 23:52:25 | 28-10-15] - PubEvent publisher0, cenas/lol, 1
[LOG: 23:52:25 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 1
[LOG: 23:52:25 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 1
[LOG: 23:52:25 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 1
[LOG: 23:52:26 | 28-10-15] - PubEvent publisher0, cenas/lol, 2
[LOG: 23:52:26 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 2
[LOG: 23:52:26 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 2
[LOG: 23:52:26 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 2
[LOG: 23:52:27 | 28-10-15] - PubEvent publisher0, cenas/lol, 3
[LOG: 23:52:27 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 3
[LOG: 23:52:27 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 3
[LOG: 23:52:27 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 3
[LOG: 23:52:28 | 28-10-15] - PubEvent publisher0, cenas/lol, 4
[LOG: 23:52:28 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 4
[LOG: 23:52:28 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 4
[LOG: 23:52:28 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 4
[LOG: 23:52:29 | 28-10-15] - PubEvent publisher0, cenas/lol, 5
[LOG: 23:52:29 | 28-10-15] - SubEvent subscriber0, publisher0, cenas/lol, 5
[LOG: 23:52:29 | 28-10-15] - BroEvent broker0, publisher0, cenas/lol, 5
[LOG: 23:52:29 | 28-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 5

####################################################################################################
############################    New Connection @ 00:28:38 | 29-10-15    ############################
####################################################################################################

[LOG: 00:28:52 | 29-10-15] - wait 5000
[LOG: 00:28:52 | 29-10-15] - subscriber subscriber2 subscribe cenas/lol
[LOG: 00:28:52 | 29-10-15] - subscriber subscriber0 subscribe cenas/lol
[LOG: 00:28:52 | 29-10-15] - subscriber subscriber3 subscribe cenas/lol
[LOG: 00:28:52 | 29-10-15] - publisher publisher0 publish 5 Ontopic cenas/lol interval 1000
[LOG: 00:28:52 | 29-10-15] - PubEvent publisher0, cenas/lol, 1
[LOG: 00:28:53 | 29-10-15] - PubEvent publisher0, cenas/lol, 2
[LOG: 00:28:54 | 29-10-15] - PubEvent publisher0, cenas/lol, 3
[LOG: 00:28:55 | 29-10-15] - PubEvent publisher0, cenas/lol, 4
[LOG: 00:28:56 | 29-10-15] - PubEvent publisher0, cenas/lol, 5

####################################################################################################
############################    New Connection @ 00:35:22 | 29-10-15    ############################
####################################################################################################

[LOG: 00:35:36 | 29-10-15] - wait 5000
[LOG: 00:35:36 | 29-10-15] - subscriber subscriber2 subscribe cenas/lol
[LOG: 00:35:36 | 29-10-15] - subscriber subscriber0 subscribe cenas/lol
[LOG: 00:35:36 | 29-10-15] - subscriber subscriber3 subscribe cenas/lol
[LOG: 00:35:36 | 29-10-15] - publisher publisher0 publish 5 Ontopic cenas/lol interval 1000
[LOG: 00:35:36 | 29-10-15] - PubEvent publisher0, cenas/lol, 1
[LOG: 00:35:36 | 29-10-15] - BroEvent broker1, publisher0, cenas/lol, 1
[LOG: 00:35:36 | 29-10-15] - BroEvent broker0, publisher0, cenas/lol, 1
[LOG: 00:35:36 | 29-10-15] - BroEvent broker2, publisher0, cenas/lol, 1
[LOG: 00:35:36 | 29-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 1
[LOG: 00:35:36 | 29-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 1
[LOG: 00:35:37 | 29-10-15] - PubEvent publisher0, cenas/lol, 2
[LOG: 00:35:37 | 29-10-15] - BroEvent broker1, publisher0, cenas/lol, 2
[LOG: 00:35:37 | 29-10-15] - BroEvent broker0, publisher0, cenas/lol, 2
[LOG: 00:35:37 | 29-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 2
[LOG: 00:35:37 | 29-10-15] - BroEvent broker2, publisher0, cenas/lol, 2
[LOG: 00:35:37 | 29-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 2
[LOG: 00:35:38 | 29-10-15] - PubEvent publisher0, cenas/lol, 3
[LOG: 00:35:38 | 29-10-15] - BroEvent broker1, publisher0, cenas/lol, 3
[LOG: 00:35:38 | 29-10-15] - BroEvent broker0, publisher0, cenas/lol, 3
[LOG: 00:35:38 | 29-10-15] - SubEvent subscriber2, publisher0, cenas/lol, 3
[LOG: 00:35:38 | 29-10-15] - BroEvent broker2, publisher0, cenas/lol, 3
[LOG: 00:35:38 | 29-10-15] - SubEvent subscriber3, publisher0, cenas/lol, 3
[LOG: 00:35:39 | 29-10-15] - PubEvent publisher0, cenas/lol, 4
